,Athlete,Country,NumChamps
410,Stephane JULIEN,France,2
411,Riccardo SCARIAN,Italy,2
412,Thorsten NEUHAUS,Germany,2
413,Urh CEHOVIN,Slovenia,2
414,Petro MARKEVYCH,Ukraine,2
415,Christian BENK,Germany,2
416,Roland WAGNER,Austria,2
417,Luka ZAZVONIL,Slovenia,2
418,Nicolas FAVRESSE,Belgium,2
419,François AUCLAIR,France,2
420,Tomasz DOUBRAVSK,Czechia,2
421,Malcolm SMITH,United Kingdom,2
422,Alexei GADEEV,Russia,2
423,Donato LELLA,Italy,2
424,Reinhard FICHTINGER,Austria,2
425,Franci JENSTERLE,Slovenia,2
426,Vladislav BARANOV,Russia,2
427,Daniel FILIPOV VOLEV,Bulgaria,2
428,Ruslan Dimitrov PETROUSKI,Bulgaria,2
429,Alexandr PAUKAEV,Ukraine,2
430,David CAUDE,France,2
431,Marcin WROBEL,Poland,2
432,Paul DEWILDE,France,2
433,Urs SCHÖNENBERGER,Switzerland,2
434,Noukri GVELEBIANI,Georgia,2
435,Ionel ENE,Romania,2
436,Oliver COENEN,Belgium,2
437,Dmitrii BYCHKOV,Russia,2
438,Milan BENIAN,Czechia,2
439,Zaza GURCHIANI,Georgia,2
440,Johan MUS,Belgium,2
441,Oleg BOULAVKO,Russia,2
442,Hans MILEWSKI,Austria,2
443,Patxi AROCENA,Spain,2
444,Serguei CHEMOULINKINE,Russia,2
445,Arnaud PETIT,France,2
446,Ian VICKERS,United Kingdom,2
447,Miroslav PIALA,Slovakia,2
448,Leif BROC,Norway,2
449,Michel VAN EYNDE,Belgium,2
450,Peter KMOSKO,Slovakia,2
451,Neil CARSON,United Kingdom,2
452,Michael LEA,United Kingdom,2
453,Roman STEFANEK,Czechia,2
454,Tomas PILKA,Czechia,2
455,Marko ROZMAN,Croatia,2
456,Pavel SAMOILINE,Russia,2
457,Christopher CUBITT,United Kingdom,2
458,Yves PHILIPONA,Switzerland,2
459,Elie CHEVIEUX,Switzerland,2
460,Anton PACEK,Slovakia,2
461,François LOMBARD,France,2
462,Alexei TCHERTOV,Russia,2
463,Stefano ALIPPI,Italy,2
464,Vili GUCEK,Slovenia,2
465,Stefan ADRIAN,Romania,2
466,Marcel TOMAN,Czechia,2
467,Alv BORGE,Norway,2
468,Andrzej MARCISZ,Poland,2
469,Darko DULAR,Croatia,2
470,Ivica FRANCESCHI,Croatia,2
471,Jivko DRUMEV,Bulgaria,2
472,Hakon HANSEN,Norway,2
473,Tomas SEDLACEK,Czechia,2
474,Boris CUJIC,Croatia,2
475,Jan LINDEGAARD ANDERSEN,Denmark,2
476,Marius ONIGA,Romania,2
477,Petrov PLAMEN,Bulgaria,2
478,Antoine GIRARD,France,1
479,Timotej ROMŠAK,Slovenia,1
480,Tuukka SIMONEN,Finland,1
481,Andreas HOFHERR,Austria,1
482,Max JØRGENSEN,Denmark,1
483,Theis Lindegren ELFENBEIN,Denmark,1
484,Niccolò Antony SALVATORE,Italy,1
485,Oren PRIHED,Israel,1
486,Villads SKOVBJERG,Denmark,1
487,Nathan MARTIN,Luxembourg,1
488,Nathan MARTIN,France,1
489,Nicolò SARTIRANA,Italy,1
490,Thorben Perry BLOEM,Germany,1
491,Paul CRISTEA,Romania,1
492,Călin ENACHE,Romania,1
493,Elias ARRIAGADA KRÜGER,Germany,1
494,Attila Zsombor RADICS,Hungary,1
495,Axel LINDFORS,Finland,1
496,Thomas KJAER,Denmark,1
497,Tomer YAKOBOVITCH,Israel,1
498,Yonatan KATZ,Israel,1
499,Lasse VON FREIER,Germany,1
500,Dayan AKHTAR,United Kingdom,1
501,Samuel RICHARD,France,1
502,Roman SIVAKOV,Lithuania,1
503,Hryhorii ILCHYSHYN,Ukraine,1
504,Unax UTERGA FLAMARIQUE,Spain,1
505,Miguel GÓMEZ BARRIOS,Spain,1
506,Marceau GARNIER,France,1
507,Kevin AMON,Austria,1
508,Andrew GOODALL,United Kingdom,1
509,Luke TURNER,United Kingdom,1
510,Dimitri FLICK,Switzerland,1
511,Davide Marco COLOMBO,Italy,1
512,Max BERTONE,France,1
513,Lovro CREP,Slovenia,1
514,Jules MARCHALAND,France,1
515,Giovanni PLACCI,Italy,1
516,Giorgio TOMATIS,Italy,1
517,Ties VANCRAEYNEST,Belgium,1
518,Pietro BIAGINI,Italy,1
519,Germanis KLAVS,Latvia,1
520,Oleksii KRYNETSKYI,Ukraine,1
521,Samuel WINGARDH,Sweden,1
522,Matic KOTAR,Slovenia,1
523,Arkadiusz MILLAN,Poland,1
524,Max PRINZ,Germany,1
525,Jakub ZIETEK,Poland,1
526,Arthur TERNANT,France,1
527,Joris LEIPUS,Lithuania,1
528,Ionut-cosmin ATOMEI,Romania,1
529,Adrian CHMIALA,Poland,1
