,Athlete,Country,NumChamps
334,Rafal POREBSKI,Poland,1
335,Soso KATSITADZE,Georgia,1
336,Fabien COMINA,France,1
337,Erik CARLSSON,Sweden,1
338,Igor SOLOVEY,Ukraine,1
339,Bálint BURUCS,Hungary,1
340,Drew HAIGH,United Kingdom,1
341,Gabor SZEKELY,Hungary,1
342,Timo TAK,Netherlands,1
343,Michael TIMMERMANS,Belgium,1
344,Jérôme DE BOECK,Belgium,1
345,Tony MUSSELBROOK,United Kingdom,1
346,Jurgen LIS,Belgium,1
347,Geir SÖDERIN,Sweden,1
348,Nicky DE LEEUW,Netherlands,1
349,Piotr BUNSCH,Poland,1
350,Sergii TOPISHKO,Ukraine,1
351,Olexandr SHALAGIN,Ukraine,1
352,Rob HAIGH,United Kingdom,1
353,Stefan VUJIC,Serbia,1
354,Mirce TRAJCEVSKI,The former Yugoslav Republic of Macedonia,1
355,Kire SERAFIMOVSKI,The former Yugoslav Republic of Macedonia,1
356,Balint KAMVAS,Hungary,1
357,Ivan LISICA,Croatia,1
358,Bálint KUCSERA,Hungary,1
359,Björn STRÖMBERG,Sweden,1
360,José ABREU,Portugal,1
361,Nenad MATIC,Serbia,1
362,Rafet serkan ERCAN,Turkey,1
363,Tomas midtun TOBIASSEN,Norway,1
364,Petr RESCH,Czechia,1
365,Vasily KOZLOV,Russia,1
366,Miroslav HRASKO,Slovakia,1
367,Alexander KALINA,Russia,1
368,Nicola DE MATTIA,Italy,1
369,Jure BECAN,Slovenia,1
370,Noé BERGER,Luxembourg,1
371,Victor KOZLOV,Russia,1
372,Anton MARDASHOV,Ukraine,1
373,Truong NGO,Netherlands,1
374,Silvio REFFO,Italy,1
375,Pavlo VEKLA,Ukraine,1
376,Erik GRANDELIUS,Sweden,1
377,Christoph KRISMER,Austria,1
378,Zorbey AKTUYUN,Turkey,1
379,Rudi MORODER,Italy,1
380,Luka KIVELA,Croatia,1
381,Luka TRUMBIC,Croatia,1
382,Dogan oguz PALUT,Turkey,1
383,Jakob heber NORUM,Norway,1
384,Federico ANDREOLI,Italy,1
385,John henry NILSSEN,Norway,1
386,Markus JUNG,Germany,1
387,Evgenii ZAZULIN,Russia,1
388,Mikhail KOCHETKOV,Russia,1
389,Sergej EPIH,Slovenia,1
390,Nikita SUYUSHKIN,Russia,1
391,Vanco NAUNOV,The former Yugoslav Republic of Macedonia,1
392,Michal ROZEK,Czechia,1
393,Jan ZIMA,Czechia,1
394,Lowie LAMBERECHTS,Belgium,1
395,Teun KEUSTERS,Netherlands,1
396,Franz KRAKENBERGER,Switzerland,1
397,Urban PRIMOZIC,Slovenia,1
398,Bernhard RÖCK,Austria,1
399,Semen CHESNOKOV,Russia,1
400,Alban LEVIER,France,1
401,Antoine KAUFFMANN,Belgium,1
402,Yiftach KUSHNIR,Israel,1
403,Stefano CARNATI,Italy,1
404,Kevin HUSER,Switzerland,1
405,Stefan BEDNAR,Slovakia,1
406,Sergio VERDASCO URIZAL,Spain,1
407,Jerome GONZÁLEZ GUTIÉRREZ,Spain,1
408,Giorgio BENDAZZOLI,Italy,1
409,Tanguy TOPIN,France,1
410,Denis PAIL,Czechia,1
411,Leo ketil BØE,Norway,1
412,Maciej DOBRZANSKI,Poland,1
413,Aleksei SHCHERVIANIN,Russia,1
414,David FIRNENBURG,Germany,1
415,Sergei BYDTAEV,Russia,1
416,Guram DABRUNDASHVILI,Georgia,1
417,Matthias ERBER,Austria,1
418,Alberto GOTTA,Italy,1
419,Piotr SCHAB,Poland,1
420,Or MINIELY,Israel,1
421,Muhammet nuri̇ AYDEMİR,Turkey,1
422,Àlex HERNÁNDEZ CASTILLA,Spain,1
423,Recep GÜR,Turkey,1
424,Anton SVIRIDOV,Russia,1
425,Sarp SAHIN,Turkey,1
426,Evgenii KALASHNIKOV,Russia,1
427,Mikel Asier LINACISORO MOLINA,Spain,1
428,Arda kadir URULUER,Turkey,1
429,Davide marco COLOMBO,Italy,1
430,Albert ILSAAS SUTHURST,Norway,1
431,Alfons DORNAUER,Austria,1
432,Ioannis-Filippos NOEL-BAKER,Greece,1
433,Alistair DUVAL,France,1
434,Matthaios VALSAMIDIS,Greece,1
435,Mark BRAND,Netherlands,1
436,Sven LEMPEREUR,Belgium,1
437,Mischa RADT,Netherlands,1
438,Kieran FORREST,United Kingdom,1
439,Mejdi SCHALCK,France,1
440,Leo BØE,Norway,1
441,Nimord MARCUS,Israel,1
442,Slav KIROV,Bulgaria,1
443,Emil ABRAHAMSSON,Sweden,1
444,Hannes VAN DUYSEN,Belgium,1
445,Mickael MAWEM,France,1
446,Illia BAKHMET-SMOLENSKYI,Ukraine,1
447,Yotam BEN REUVEN,Israel,1
448,Gregor VEZONIK,Slovenia,1
449,Matey MITSEV,Bulgaria,1
450,Maximillian MILNE,United Kingdom,1
