,Athlete,Country,NumChamps
283,Gregorz PLESNIAK,Poland,1
284,Darko DULAR,Croatia,1
285,Ivica FRANCESCHI,Croatia,1
286,Jivko DRUMEV,Bulgaria,1
287,Hakon HANSEN,Norway,1
288,Tomas SEDLACEK,Czechia,1
289,Boris CUJIC,Croatia,1
290,Gregor JAEGER,Germany,1
291,Jan LINDEGAARD ANDERSEN,Denmark,1
292,Marius ONIGA,Romania,1
293,Petrov PLAMEN,Bulgaria,1
294,Piotr DAWIDOWICZ,Poland,1
295,Pavel WEISSER,Czechia,1
296,Christian SCHLESENER,Germany,1
