,Athlete,Country,NumWCups
301,Lucy ATKINSON,United Kingdom,6
302,Campbell SARINOPOULOS,United States of America,6
303,Irina KUZMENKO,Russia,6
304,Anna ZAIKINA,Russia,6
305,Bianka JANECKA (Current),Poland,6
306,Maja VIDMAR,Slovenia,6
307,Irene BARIANI,Italy,6
308,Katy WHITTAKER,United Kingdom,6
309,Marie DUVAL,France,6
310,Johanna ERNST,Austria,6
311,Zoë MAIRE,Switzerland,6
312,Marine DELPIERRE,France,6
313,Charlotte DURIF,France,6
314,Clarrie LAM,Canada,6
315,Christine SCHRANZ,Austria,6
316,Nikki VAN BERGEN,Netherlands,6
317,Anna BORELLA,Italy,6
318,Sylwia BUCZEK,Poland,6
319,Karolina NEVELIKOVA,Czechia,6
320,Mateja HOHKRAUT,Slovenia,6
321,Courtney SANDERS,United States of America,6
322,Daniela EBLER,Sweden,6
323,Erica CARLSON,Canada,6
324,Grace MCKEEHAN,United States of America,6
325,Tomoko KAJIMA,Japan,6
326,Zhuoma PUBU,China,6
327,Daniela KOTRBOVA,Czechia,6
328,Tjasa SLEMENSEK,Slovenia,6
329,Ayari SAKAMOTO,Japan,6
330,Alise ZVIGULE,Latvia,6
331,Wai-ping YU,"China, Hong Kong Special Administrative Region",6
332,Heloïse DOUMONT (Current),Belgium,6
333,Vanda MICHALKOVA,Slovakia,6
334,Charlotte ANDRE,France,6
335,Valiantsina CHAMIAKINA,Belarus,6
336,Ashima SHIRAISHI,United States of America,6
337,LINDA SJÖDIN,Sweden,6
338,Natsumi HIRANO (Current),Japan,6
339,Eliska ADAMOVSKA (Current),Czechia,6
340,Muykuay SILVA (Current),Chile,6
341,Hana KOIKE (Current),Japan,6
342,Sara COPAR (Current),Slovenia,6
343,Melina COSTANZA (Current),United States of America,6
344,Francesca MATUELLA (Current),Italy,6
345,Anastasiia KOBETS (Current),Ukraine,6
346,Noa SHIRAN (Current),Israel,6
347,Iris HEIKKINEN (Current),Finland,6
348,Yawen MI (Current),China,6
349,Sophie HEURTEAUX,France,5
350,Ulla WALDER,Italy,5
351,Lise NOEL,France,5
352,Stéphanie BODET,France,5
353,Myrtille GUIGUET,France,5
354,Sandr van LANDEGHEM,France,5
355,Cinzia DONATI,Italy,5
356,Ksenia SDOBNIKOVA,Russia,5
357,Martina ZANETTI,Italy,5
358,Mattea PÖTZI (Current),Austria,5
359,Elena KRASOVSKAIA (Current),Russia,5
360,Lucie WATILLON (Current),Belgium,5
361,Mailys PIAZZALUNGA,France,5
362,Natalia KALUCKA (Current),Poland,5
363,Ignacia MELLADO QUINTEROS,Chile,5
364,Agniete SEIBOKAITE,Lithuania,5
365,Irene PIEPER,Netherlands,5
366,Petya GARBOVA,Bulgaria,5
367,Angela EITER,Austria,5
368,Christina SCHMID,Switzerland,5
369,Sara MORANDI,Italy,5
370,Raelene COWIE,United Kingdom,5
371,Tiffany HENSLEY,United States of America,5
372,Xuhua PAN,China,5
373,Helen HALDENBY,United Kingdom,5
374,Alexandra LADURNER,Italy,5
375,Saari WATANABE,Japan,5
376,Anouk PIOLA,Switzerland,5
377,Mariya MULYAR,Ukraine,5
378,Isabell LEINER,Germany,5
379,Wangmu RENZENG,China,5
380,Jana MÜLLER,Germany,5
381,Hélène JANICOT (Current),France,5
382,Margaux PUCHEUX,France,5
383,Marieta AKALSKI,Canada,5
384,Jelisa DUNBAR,Canada,5
385,Teresa TROYA GIL,Spain,5
386,Minseon KIM,Republic of Korea,5
387,Karina BILKOVA,Czechia,5
388,Mie (marie therese) KASTET,Norway,5
389,Saeko SUGIMURA,Japan,5
390,Momoka KANEKO,Japan,5
391,Serika OKAWACHI,Japan,5
392,Nasim BIYARJOMANDY,Iran (Islamic Republic of),5
393,Evgeniya LAPSHINA,Russia,5
394,Anna MARGOLINA,Russia,5
395,Romy FUCHS,Germany,5
396,Prateeksha ARUN (Current),India,5
397,Andrea ROJAS (Current),Ecuador,5
398,Patrycja CHUDZIAK (Current),Poland,5
399,Aliaksandra MISIUKEVICH,Belarus,5
400,Anna BROZEK (Current),Poland,5
