,Athlete,Country,NumWCups
400,John BROSLER (Current),United States of America,9
401,Rudolph RUANA,United States of America,9
402,Slav KIROV (Current),Bulgaria,9
403,Rodrigo IASI HANADA (Current),Brazil,9
404,Jinbin HUANG (Current),China,9
405,Dimitri FLICK (Current),Switzerland,9
406,Qun Tao KE (Current),Malaysia,9
407,Diego FOURBET,France,8
408,Jeremy BONDER,France,8
409,Sven LEMPEREUR,Belgium,8
410,Ziga ZAJC,Slovenia,8
411,Robert CORTIJO,France,8
412,Yann GHESQUIERS,France,8
413,Dave CUTHBERTSON,United Kingdom,8
414,Faycal NATECH,France,8
415,Malcolm SMITH,United Kingdom,8
416,Erik JACOBS,Netherlands,8
417,Vladimir JOURKIN,Russia,8
418,Bernabe FERNANDEZ,Spain,8
419,Stefan BÖSCHENSTEIN,Switzerland,8
420,Robert MATE,Germany,8
421,Hans MILEWSKI,Austria,8
422,Hee-jo KIM,Republic of Korea,8
423,Urh CEHOVIN,Slovenia,8
424,Luc DAURES,France,8
425,Rongwu CAO,China,8
426,Fabian FÖRANDER,Sweden,8
427,Jakub ZIETEK (Current),Poland,8
428,Johannes HOFHERR (Current),Austria,8
429,Dylan CHUAT,Switzerland,8
430,Ross FULKERSON (Current),United States of America,8
431,Julien CLÉMENCE (Current),Switzerland,8
432,Timothy KANG,United States of America,8
433,Sean FAULKNER,Canada,8
434,Alex KHAZANOV,Israel,8
435,Taito NAKAGAMI,Japan,8
436,Matteo GAMBARO,Italy,8
437,Xiangyang YE,China,8
438,Changzhong LIU,China,8
439,Tobias GARTMANN,Germany,8
440,Rasmus NORGAARD,Denmark,8
441,Yeu-shiang CHANG,Taiwan,8
442,Timo TAK,Netherlands,8
443,Gabriel JOSSERON,France,8
444,Jurgen LIS,Belgium,8
445,Pavlo VEKLA,Ukraine,8
446,Kevin AGLAE,France,8
447,Eirik birkelund OLSEN,Norway,8
448,Truong NGO,Netherlands,8
449,Gregor VEZONIK (Current),Slovenia,8
450,Kaya OTAKA,Japan,8
451,Tomoaki TAKATA,Japan,8
452,Jonatan FLOR VAZQUEZ,Spain,8
453,Nathan SMITH,Canada,8
454,Zan LOVENJAK SUDAR (Current),Slovenia,8
455,Carlos GRANJA,Ecuador,8
456,Benjamin HANNA (Current),United States of America,8
457,Maximillian MILNE (Current),United Kingdom,8
458,Romaric GEFFROY,France,8
459,Nathan MARTIN (Current),France,8
460,Nathan MARTIN (Current),Luxembourg,8
461,Vojtech TROJAN,Czechia,8
462,Hritik MARNE,India,8
463,Guy MCNAMEE (Current),Canada,8
464,Kindar MCNAMEE (Current),Canada,8
465,Mateus RODRIGUES BELLOTTO (Current),Brazil,8
466,Timo UZNIK (Current),Austria,8
467,Musauwir MUSAUWIR (Current),Indonesia,8
468,Junzhe HU (Current),China,8
469,Jinwei YAO (Current),China,8
470,Chih-En FAN (Current),Taiwan,8
471,Guillermo PEINADO FRANGANILLO (Current),Spain,8
472,Younès AUBERT MASMOUDI (Current),France,8
473,Max KLEESATTEL (Current),Germany,7
474,Simon NADIN,United Kingdom,7
