,Year,Country,NumAthletes
891,1999,Czechia,12
892,1999,Denmark,0
893,1999,Ecuador,0
894,1999,El Salvador,0
895,1999,Estonia,0
896,1999,Finland,2
897,1999,France,91
898,1999,Georgia,2
899,1999,Germany,19
900,1999,Greece,0
901,1999,Guam,0
902,1999,Guatemala,0
903,1999,Honduras,0
904,1999,Hungary,11
905,1999,Iceland,0
906,1999,India,0
907,1999,Indonesia,0
908,1999,Iran (Islamic Republic of),0
909,1999,Iraq,0
910,1999,Ireland,0
911,1999,Israel,0
912,1999,Italy,31
913,1999,Japan,8
914,1999,Jordan,0
915,1999,Kazakhstan,0
916,1999,Kuwait,0
917,1999,Latvia,0
918,1999,Lebanon,0
919,1999,Lithuania,0
920,1999,Luxembourg,0
921,1999,Malaysia,0
922,1999,Mauritius,0
923,1999,Mexico,0
924,1999,Mongolia,0
925,1999,Nepal,0
926,1999,Netherlands,5
927,1999,New Zealand,1
928,1999,Nigeria,0
929,1999,Norway,1
930,1999,Pakistan,0
931,1999,Peru,0
932,1999,Philippines,0
933,1999,Poland,9
934,1999,Portugal,0
935,1999,Puerto Rico,0
936,1999,Republic of Korea,4
937,1999,Romania,1
938,1999,Russia,27
939,1999,Saudi Arabia,0
940,1999,Serbia,0
941,1999,Singapore,0
942,1999,Slovakia,7
943,1999,Slovenia,15
944,1999,South Africa,0
945,1999,Spain,17
946,1999,Sweden,6
947,1999,Switzerland,14
948,1999,Taiwan,0
949,1999,Thailand,0
950,1999,The former Yugoslav Republic of Macedonia,3
951,1999,Turkey,0
952,1999,Ukraine,17
953,1999,United Kingdom,13
954,1999,United States of America,5
955,1999,Uzbekistan,0
956,1999,Venezuela (Bolivarian Republic of),0
957,2000,Andorra,0
958,2000,Argentina,0
959,2000,Australia,0
960,2000,Austria,12
961,2000,Azerbaijan,0
962,2000,Belarus,0
963,2000,Belgium,2
964,2000,Botswana,0
965,2000,Brazil,0
966,2000,Brunei Darussalam,0
967,2000,Bulgaria,9
968,2000,Cambodia,0
969,2000,Canada,2
970,2000,Chile,0
971,2000,China,0
972,2000,"China, Hong Kong Special Administrative Region",3
973,2000,"China, Macao Special Administrative Region",0
974,2000,Colombia,1
975,2000,Costa Rica,0
976,2000,Croatia,1
977,2000,Cyprus,0
978,2000,Czechia,9
979,2000,Denmark,0
980,2000,Ecuador,0
981,2000,El Salvador,0
982,2000,Estonia,0
983,2000,Finland,0
984,2000,France,96
985,2000,Georgia,0
986,2000,Germany,20
987,2000,Greece,4
988,2000,Guam,0
989,2000,Guatemala,0
990,2000,Honduras,0
991,2000,Hungary,3
992,2000,Iceland,0
993,2000,India,0
994,2000,Indonesia,0
995,2000,Iran (Islamic Republic of),0
996,2000,Iraq,0
997,2000,Ireland,0
998,2000,Israel,0
999,2000,Italy,30
1000,2000,Japan,11
1001,2000,Jordan,0
1002,2000,Kazakhstan,0
1003,2000,Kuwait,0
1004,2000,Latvia,0
1005,2000,Lebanon,0
1006,2000,Lithuania,0
1007,2000,Luxembourg,0
1008,2000,Malaysia,0
1009,2000,Mauritius,0
1010,2000,Mexico,0
1011,2000,Mongolia,0
1012,2000,Nepal,0
1013,2000,Netherlands,7
1014,2000,New Zealand,1
1015,2000,Nigeria,0
1016,2000,Norway,7
1017,2000,Pakistan,0
1018,2000,Peru,0
1019,2000,Philippines,0
1020,2000,Poland,6
1021,2000,Portugal,0
1022,2000,Puerto Rico,0
1023,2000,Republic of Korea,8
1024,2000,Romania,1
1025,2000,Russia,25
1026,2000,Saudi Arabia,0
1027,2000,Serbia,0
1028,2000,Singapore,0
1029,2000,Slovakia,5
1030,2000,Slovenia,17
1031,2000,South Africa,0
1032,2000,Spain,12
1033,2000,Sweden,10
1034,2000,Switzerland,13
1035,2000,Taiwan,1
1036,2000,Thailand,0
1037,2000,The former Yugoslav Republic of Macedonia,3
1038,2000,Turkey,0
1039,2000,Ukraine,15
1040,2000,United Kingdom,11
1041,2000,United States of America,7
1042,2000,Uzbekistan,0
1043,2000,Venezuela (Bolivarian Republic of),0
1044,2001,Andorra,0
1045,2001,Argentina,0
1046,2001,Australia,0
1047,2001,Austria,11
1048,2001,Azerbaijan,0
1049,2001,Belarus,1
1050,2001,Belgium,2
1051,2001,Botswana,0
1052,2001,Brazil,1
1053,2001,Brunei Darussalam,0
1054,2001,Bulgaria,0
1055,2001,Cambodia,0
1056,2001,Canada,1
1057,2001,Chile,0
1058,2001,China,8
1059,2001,"China, Hong Kong Special Administrative Region",3
