,Athlete,Country,Gender,Discipline,First,Second,Third
209,Manuel CORNU,FRA,Male,Boulder,1,1,0
210,Chris SHARMA,USA,Male,Lead,1,1,0
211,Cuifang HE,CHN,Female,Speed,1,1,0
212,Olga BIBIK,RUS,Female,Speed,1,1,0
213,Sean BAILEY,USA,Male,Boulder,1,1,0
214,Salavat RAKHMETOV,RUS,Male,Lead,1,1,0
215,Stéphanie BODET,FRA,Female,Lead,1,0,9
216,Elie CHEVIEUX,SUI,Male,Lead,1,0,3
217,Sebastian HALENKE,GER,Male,Lead,1,0,3
218,Vita LUKAN,SLO,Female,Lead,1,0,2
219,Toby ROBERTS,GBR,Male,Boulder,1,0,2
220,Gregor VEZONIK,SLO,Male,Boulder,1,0,2
221,Eduard MARIN GARCIA,ESP,Male,Lead,1,0,2
222,Christoph FINKEL,GER,Male,Lead,1,0,2
223,Leonardo GONTERO,ITA,Male,Speed,1,0,2
224,Stéphan JULIEN,FRA,Male,Boulder,1,0,2
225,Keita WATABE,JPN,Male,Boulder,1,0,2
226,Charlotte DURIF,FRA,Female,Lead,1,0,2
227,Jonas BAUMANN,GER,Male,Boulder,1,0,2
228,Tomás MRÁZEK,CZE,Male,Boulder,1,0,2
229,Andrew EARL,GBR,Male,Boulder,1,0,1
230,Malcolm SMITH,GBR,Male,Boulder,1,0,1
231,Lucelia BLANCO,VEN,Female,Speed,1,0,1
232,Liv SANSOZ,FRA,Female,Boulder,1,0,1
233,Marietta UHDEN,GER,Female,Boulder,1,0,1
234,Carlos BRASCOE,ESP,Male,Lead,1,0,1
235,Esther BRUCKNER,FRA,Female,Speed,1,0,1
236,Sohta AMAGASA,JPN,Male,Boulder,1,0,1
237,Mei KOTAKE,JPN,Female,Lead,1,0,1
238,Raharjati NURSAMSA,INA,Male,Speed,1,0,1
239,Aspar ASPAR,INA,Male,Speed,1,0,1
240,Rahmad ADI MULYONO,INA,Male,Speed,1,0,1
241,Klemen BECAN,SLO,Male,Lead,1,0,1
242,Renata PISZCZEK,POL,Female,Speed,1,0,1
243,Bernardino LAGNI,ITA,Male,Lead,1,0,1
244,Mykhaylo SHALAGIN,UKR,Male,Boulder,1,0,1
245,Ludovic LAURENCE,FRA,Male,Boulder,1,0,1
246,Alban LEVIER,FRA,Male,Boulder,1,0,1
247,Katie BROWN,USA,Female,Lead,1,0,0
248,Yulia INOZEMTSEVA,RUS,Female,Speed,1,0,0
249,Alexandra BALAKIREVA,RUS,Female,Boulder,1,0,0
250,Mark CROXALL,GBR,Male,Boulder,1,0,0
251,Rosmery DA SILVA,VEN,Female,Speed,1,0,0
252,Anatoly SKRIPOV,RUS,Male,Speed,1,0,0
253,Ludovic LAURENCE,FRA,Male,Lead,1,0,0
254,Lai-sho CHENG,HKG,Female,Speed,1,0,0
255,Alex KHAZANOV,ISR,Male,Boulder,1,0,0
256,Hidemasa NISHIDA,JPN,Male,Lead,1,0,0
257,Ekaterina BARASHCHUK,RUS,Female,Speed,1,0,0
258,Guido KÖSTERMEYER,GER,Male,Lead,1,0,0
259,Leonel DE LAS SALAS,VEN,Male,Speed,1,0,0
260,Colin DUFFY,USA,Male,Boulder,1,0,0
261,Zento MURASHITA,JPN,Male,Lead,1,0,0
262,Marcello BOMBARDI,ITA,Male,Lead,1,0,0
263,Yannick FLOHÉ,GER,Male,Boulder,1,0,0
264,Petra KLINGLER,SUI,Female,Boulder,1,0,0
265,Josune BERECIARTU URRUZOLA,ESP,Female,Boulder,1,0,0
266,Agung ethi HENDRAWATI,INA,Female,Speed,0,5,1
267,Melissa LE NEVE,FRA,Female,Boulder,0,4,6
