,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
184,Tanja BAUER (GER),0,0,0,0,0,0,0,1,0,1,10,0,10
185,Stasa GEJO (SRB),0,0,0,0,2,2,0,0,3,3,51,0,5
186,Natalia TITOVA (RUS),0,0,0,0,1,1,0,0,3,3,15,0,20
187,Venera CHERESHNEVA (RUS),0,0,0,0,1,1,0,0,1,1,39,0,2
188,Fanny ROGEAUX (FRA),0,0,0,0,1,1,0,0,1,1,11,0,9
189,Elnaz REKABI (IRI),0,0,0,0,1,1,0,0,0,0,0,0,0
190,Tamara KUZNETSOVA (KAZ),0,0,0,0,1,1,0,0,0,0,0,0,0
191,Jenny LAVARDA (ITA),0,0,0,0,0,0,0,0,3,3,156,0,1
192,Yana CHERESHNEVA (RUS),0,0,0,0,0,0,0,0,3,3,71,0,4
193,Stella MARCHISIO (ITA),0,0,0,0,0,0,0,0,2,2,30,0,6
194,Maja STREMFELJ (SLO),0,0,0,0,0,0,0,0,2,2,7,0,28
195,Claire BELL (GBR),0,0,0,0,0,0,0,0,1,1,16,0,6
196,Angela STRIECKS (GER),0,0,0,0,0,0,0,0,1,1,15,0,6
197,Marina KLEONOVA (RUS),0,0,0,0,0,0,0,0,1,1,11,0,9
198,Susan WINKLER (GER),0,0,0,0,0,0,0,0,1,1,3,0,33
199,Kseniya POLEKHINA (RUS),0,0,0,0,0,0,0,0,1,1,16,0,6
200,Galina TERENTEVA (RUS),0,0,0,0,0,0,0,0,1,1,17,0,5
201,Jennifer COLE (USA),0,0,0,0,0,0,0,0,1,1,3,0,33
202,Catherine DESTIVELLE (FRA),0,0,0,0,0,0,0,0,1,1,3,0,33
203,Andrea KÜMIN (SUI),0,0,0,0,0,0,0,0,1,1,48,0,2
204,Anon MATSUFUJI (JPN),0,0,0,0,0,0,0,0,1,1,17,0,5
205,Mattea PÖTZI (AUT),0,0,0,0,0,0,0,0,1,1,27,0,3
206,Adi Asih KADEK (INA),0,0,0,0,0,0,0,0,1,1,1,0,100
207,Nurul IQAMAH (INA),0,0,0,0,0,0,0,0,1,1,12,0,8
208,Molly THOMPSON-SMITH (GBR),0,0,0,0,0,0,0,0,1,1,50,0,2
209,Aleksandra TOTKOVA (BUL),0,0,0,0,0,0,0,0,1,1,26,0,3
210,Flavy COHAUT (FRA),0,0,0,0,0,0,0,0,1,1,19,0,5
211,Ekaterina KIPRIIANOVA (RUS),0,0,0,0,0,0,0,0,1,1,25,0,4
212,Hannah SCHUBERT (AUT),0,0,0,0,0,0,0,0,1,1,32,0,3
213,Alizée DUFRAISSE (FRA),0,0,0,0,0,0,0,0,1,1,47,0,2
214,Angelica LIND (SWE),0,0,0,0,0,0,0,0,1,1,29,0,3
215,Anja HODANN (SWE),0,0,0,0,0,0,0,0,1,1,22,0,4
216,Elma FLEURET (FRA),0,0,0,0,0,0,0,0,1,1,13,0,7
217,Lucka FRANKO (SLO),0,0,0,0,0,0,0,0,1,1,43,0,2
218,Isabelle BIHR (FRA),0,0,0,0,0,0,0,0,1,1,26,0,3
219,Tatiana SHEMULINKINA (RUS),0,0,0,0,0,0,0,0,1,1,21,0,4
220,Anna GALLYAMOVA (RUS),0,0,0,0,0,0,0,0,1,1,29,0,3
221,Puji LESTARI (INA),0,0,0,0,0,0,0,0,1,1,10,0,10
