,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
202,Kostiantyn PAVLENKO (UKR),0,0,0,0,0,0,0,1,1,2,37,0,5
203,Michael PICCOLRUAZ (ITA),0,0,0,0,0,0,0,1,0,1,79,0,1
204,Liang ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,16,0,6
205,Jingjie HUANG (CHN),0,0,0,0,0,0,0,1,0,1,5,0,20
206,Amir MAIMURATOV (KAZ),0,0,0,0,0,0,0,1,0,1,30,0,3
207,Tobias PLANGGER (AUT),0,0,0,0,0,0,0,1,0,1,15,0,6
208,Sabri SABRI (INA),0,0,0,0,0,0,0,1,0,1,10,0,10
209,Lev RUDATSKIY (RUS),0,0,0,0,0,0,0,1,0,1,9,0,11
210,Sangwon SON (KOR),0,0,0,0,0,0,0,1,0,1,46,0,2
211,Yuhang ZHANG (CHN),0,0,0,0,0,0,0,1,0,1,8,0,12
212,Minoru NAKANO (JPN),0,0,0,0,0,0,0,1,0,1,32,0,3
213,Daniel WINKLER (SUI),0,0,0,0,0,0,0,1,0,1,29,0,3
214,Tatsuya MURAOKA (JPN),0,0,0,0,0,0,0,1,0,1,2,0,50
215,Pavel SAMOILINE (RUS),0,0,0,0,0,0,0,1,0,1,21,0,4
216,Damien JEANDENAND (FRA),0,0,0,0,0,0,0,1,0,1,11,0,9
217,Hetai MA (CHN),0,0,0,0,0,0,0,1,0,1,5,0,20
218,Fedir SAMOILOV (UKR),0,0,0,0,1,1,0,0,1,1,50,0,2
219,Hamish MCARTHUR (GBR),0,0,0,0,1,1,0,0,0,0,0,0,0
220,Dmitrii BYCHKOV (RUS),0,0,0,0,1,1,0,0,0,0,0,0,0
221,David BARRANS (GBR),0,0,0,0,1,1,0,0,0,0,0,0,0
222,David FIRNENBURG (GER),0,0,0,0,1,1,0,0,0,0,0,0,0
223,Ryo OMASA (JPN),0,0,0,0,0,0,0,0,2,2,15,0,13
224,Magnus MIDTBOE (NOR),0,0,0,0,0,0,0,0,2,2,59,0,3
225,Keita MOGAKI (JPN),0,0,0,0,0,0,0,0,2,2,35,0,5
226,Robert CORTIJO (FRA),0,0,0,0,0,0,0,0,2,2,8,0,25
227,Nalle HUKKATAIVAL (FIN),0,0,0,0,0,0,0,0,1,1,14,0,7
228,Hiroshi OKANO (JPN),0,0,0,0,0,0,0,0,1,1,13,0,7
229,Francois KAISER (FRA),0,0,0,0,0,0,0,0,1,1,19,0,5
230,Lukas ENNEMOSER (AUT),0,0,0,0,0,0,0,0,1,1,41,0,2
231,Paul ROBINSON (USA),0,0,0,0,0,0,0,0,1,1,5,0,20
232,Julien MERAL (FRA),0,0,0,0,0,0,0,0,1,1,35,0,2
233,Sufriyanto RINDI (INA),0,0,0,0,0,0,0,0,1,1,7,0,14
234,Nicola SARTORI (ITA),0,0,0,0,0,0,0,0,1,1,12,0,8
235,Patxi AROCENA (ESP),0,0,0,0,0,0,0,0,1,1,30,0,3
236,Timmy FAIRFIELD (CAN),0,0,0,0,0,0,0,0,1,1,17,0,5
237,Marat SADYROV (RUS),0,0,0,0,0,0,0,0,1,1,18,0,5
238,Oleksandr SALIMOV (UKR),0,0,0,0,0,0,0,0,1,1,10,0,10
239,Denis OMELTCHENKO (RUS),0,0,0,0,0,0,0,0,1,1,3,0,33
240,Stephan HILGERS (GER),0,0,0,0,0,0,0,0,1,1,2,0,50
241,Ian VICKERS (GBR),0,0,0,0,0,0,0,0,1,1,25,0,4
242,Valeriy VOROBYEV (RUS),0,0,0,0,0,0,0,0,1,1,10,0,10
243,Victor KOZLOV (RUS),0,0,0,0,0,0,0,0,1,1,4,0,25
244,Guangpu LI (CHN),0,0,0,0,0,0,0,0,1,1,7,0,14
245,Stanislav KLESHNOV (UKR),0,0,0,0,0,0,0,0,1,1,12,0,8
246,Paul JENFT (FRA),0,0,0,0,0,0,0,0,1,1,26,0,3
247,Rei KAWAMATA (JPN),0,0,0,0,0,0,0,0,1,1,9,0,11
248,Long CAO (CHN),0,0,0,0,0,0,0,0,1,1,16,0,6
249,Kevin AMON (AUT),0,0,0,0,0,0,0,0,1,1,9,0,11
250,Shuta TANAKA (JPN),0,0,0,0,0,0,0,0,1,1,17,0,5
251,Hanwool KIM (KOR),0,0,0,0,0,0,0,0,1,1,53,0,1
252,Jeremy BONDER (FRA),0,0,0,0,0,0,0,0,1,1,46,0,2
253,Tomoaki TAKATA (JPN),0,0,0,0,0,0,0,0,1,1,41,0,2
254,Taisei ISHIMATSU (JPN),0,0,0,0,0,0,0,0,1,1,19,0,5
255,Gareth PARRY (GBR),0,0,0,0,0,0,0,0,1,1,54,0,1
256,Thomas JOANNES (FRA),0,0,0,0,0,0,0,0,1,1,37,0,2
257,Max RUDIGIER (AUT),0,0,0,0,0,0,0,0,1,1,64,0,1
258,Alessandro SANTONI (ITA),0,0,0,0,0,0,0,0,1,1,25,0,4
259,Yuki HADA (JPN),0,0,0,0,0,0,0,0,1,1,32,0,3
260,Aljosa GROM (SLO),0,0,0,0,0,0,0,0,1,1,46,0,2
261,Sergey RUKIN (RUS),0,0,0,0,0,0,0,0,1,1,7,0,14
262,Ron KAUK (USA),0,0,0,0,0,0,0,0,1,1,1,0,100
263,Galar pandu ASMORO (INA),0,0,0,0,0,0,0,0,1,1,1,0,100
